,id,x,y,CRI_v2.0.r1,all,MCM_v3.2,MCM_v3.1,MCM_v3.3.1,CRI_v2.0.r2,CRI_v2.0.r3,CRI_v2.0.r4,CRI_v2.0.r5,CRI_v2.2,rxns
4600,C126CO2H,-0.33399000679394153,-0.4966451743376775,False,True,True,False,True,False,False,False,False,False,False
4601,C6OH5NO3,0.25234818599913744,-0.22911813593255925,False,True,True,True,True,False,False,False,False,False,False
4602,HO3C86O2,0.8234092048914297,0.05918446524653964,False,True,True,True,True,False,False,False,False,False,False
4603,PXY1OOH,-0.2678418014925854,0.7999583502641414,False,True,True,True,True,False,False,False,False,False,False
4604,C533O2,-0.033526776681601755,-0.06687510271475772,False,True,False,False,True,False,False,False,False,False,False
4605,INB1NBCO3H,-0.6093822399582637,-0.00952501712853504,False,True,True,False,True,False,False,False,False,False,False
4606,C3ME3CO3H,0.18941439567315732,-0.48881137237633643,False,True,True,True,True,False,False,False,False,False,False
4607,COO2C3PAN,0.5260413410959321,-0.6816041560737981,False,True,True,False,True,False,False,False,False,False,False
4608,NBUTDBO2,-0.3506222392204078,-0.20202511188903838,False,True,True,True,True,False,False,False,False,False,False
4609,NBUTDBOOH,-0.35147480687517507,-0.19183351253869807,False,True,True,True,True,False,False,False,False,False,False
4610,DHPR12O2,-0.14182815312407104,-0.05139688859471836,True,True,False,False,False,True,True,True,True,True,False
4611,HIEB1O2,-0.377457252496321,-0.2915787215881718,False,True,True,False,True,False,False,False,False,False,False
4612,NDNCRESO,-0.37374806638089597,0.9050940118453772,False,True,True,True,True,False,False,False,False,False,False
4613,C139O,-0.46192258653890583,-0.840409211244368,False,True,True,False,True,False,False,False,False,False,False
4614,PETLQO,-0.05307978518215295,0.19526514720837884,False,True,True,True,True,False,False,False,False,False,False
4615,PETLQOOH,-0.056739400216811675,0.2239258887442428,False,True,True,True,True,False,False,False,False,False,False
4616,RN8OOH,-0.08090354563479873,-0.08031615763847033,True,True,False,False,False,True,True,True,True,True,False
4617,C824CO,-0.24363285561402837,-0.24780025152949037,False,True,True,False,True,False,False,False,False,False,False
4618,C824OOH,-0.2794567437458181,-0.2652378290448425,False,True,True,False,True,False,False,False,False,False,False
4619,M2PE,0.5164252019663744,-0.3833986351573393,True,True,True,True,True,True,True,False,False,True,False
4620,C4NO3M1OOH,0.22273962087968036,-0.2771497681314582,False,True,True,True,True,False,False,False,False,False,False
4621,C521OOH,-0.09942579658804085,-0.36389800426196794,False,True,True,False,True,False,False,False,False,False,False
4622,PXYLO2,-0.44375589135453175,0.7268766469190773,False,True,True,True,True,False,False,False,False,False,False
4623,C627O,-0.08049348914429477,-0.35427891372566644,False,True,True,False,True,False,False,False,False,False,False
4624,TBUT2ENE,0.27413556506608394,-0.08260056630630841,True,True,True,True,True,False,False,True,True,True,False
4625,C1211PAN,-0.22919532532420417,-0.45939619290864386,False,True,True,False,True,False,False,False,False,False,False
4626,HC4CO3,-0.4267146722129993,-0.1671108096698568,False,True,False,False,True,False,False,False,False,False,False
4627,RI19O2,0.3750978772243594,-0.21158252954823775,False,True,False,False,False,False,False,False,False,True,False
4628,DMCOH,-0.5293736771287042,-0.5512389636296654,False,True,True,True,True,False,False,False,False,False,False
4629,MPRKAO,0.3523690379463227,0.08028542823492035,False,True,True,True,True,False,False,False,False,False,False
4630,CH3OCH2OH,0.7536248184200758,-0.4278798404084655,False,True,True,True,True,False,False,False,False,False,False
4631,C918CO3H,-0.09157082587068599,-0.659207116614972,False,True,True,True,True,False,False,False,False,False,False
4632,C57OOH,-0.2271092921330623,-0.08733956791268271,False,True,True,True,True,False,False,False,False,False,False
4633,IBUTOLOHC,0.25846597151309414,-0.3280540816509807,False,True,True,True,True,False,False,False,False,False,False
4634,LIMBCO,-0.9122972508101236,-0.456446833094308,False,True,True,False,True,False,False,False,False,False,False
4635,LIMBOOH,-0.9394422242909688,-0.463185591033776,False,True,True,False,True,False,False,False,False,False,False
4636,M3HEXAOH,0.6534251404976561,-0.34227084339706915,False,True,True,True,True,False,False,False,False,False,False
4637,RN21NO3,0.652937453005777,-0.2188546394455897,True,True,False,False,False,True,True,False,False,True,False
4638,NRN18OOH,0.4380143632098097,-0.057879490369484254,False,True,False,False,False,False,False,False,False,True,False
4639,M3PEBNO3,0.5919133708572009,-0.1930875373741191,False,True,True,True,True,False,False,False,False,False,False
4640,C5CONO34O,0.09059983118365333,0.032899804058964754,False,True,True,True,True,False,False,False,False,False,False
4641,NLIMALO2,-0.8933877556047704,-0.5030447625277614,False,True,True,False,True,False,False,False,False,False,False
4642,CL2OHPAN,0.2695895109732649,0.031235927702704336,False,True,True,True,True,False,False,False,False,False,False
4643,NDMEPLOOH,0.12083467031169026,0.4692631488856245,False,True,True,True,True,False,False,False,False,False,False
4644,CO2H3CO3,-0.15620437371616103,0.1620665773865857,False,True,True,True,True,False,False,False,False,False,False
4645,CCLOHCOOH,0.13542154992650635,-0.10605195162683634,False,True,True,False,True,False,False,False,False,False,False
4646,H2M2C4CO2H,0.24992229671650068,-0.5061471616772599,False,True,True,True,True,False,False,False,False,False,False
4647,C4PAN6,-0.11034015158081867,0.0407495714991839,False,True,True,True,True,False,False,False,False,False,False
4648,CH3OCH2O,0.768971802396401,-0.44422658486605315,False,True,True,True,True,False,False,False,False,False,False
4649,METACETNO3,0.44060350889813193,-0.26129473970686334,False,True,True,True,True,False,False,False,False,False,False
4650,INCOOH,-0.5135874057708545,0.012453204729099276,False,True,True,False,True,False,False,False,False,False,False
4651,PXYLOH,-0.48558359054686284,0.7645276932452554,False,True,True,True,True,False,False,False,False,False,False
4652,C4M2NO33O2,0.21333197230912293,-0.44384483590267165,False,True,True,True,True,False,False,False,False,False,False
4653,NT124L1O,-0.09586084222321534,0.9127675375243824,False,True,True,True,True,False,False,False,False,False,False
4654,BPINCO,0.03529060305207521,-0.7545423220296062,False,True,True,True,True,False,False,False,False,False,False
4655,NCATECO2,-0.5913177806103376,0.5422880891526702,False,True,True,True,True,False,False,False,False,False,False
4656,NCATECOOH,-0.5939151664608168,0.546215928419908,False,True,True,True,True,False,False,False,False,False,False
4657,C107O2,0.04925025800381411,-0.7698168934281426,False,True,True,True,True,False,False,False,False,False,False
4658,C107OH,0.047781892044161056,-0.7955255820109325,False,True,True,True,True,False,False,False,False,False,False
4659,C823CO3H,-0.6991241112406856,-0.3041892539579627,False,True,True,False,True,False,False,False,False,False,False
4660,HM22CO2H,0.13343375537034485,-0.5490391250425903,False,True,True,True,True,False,False,False,False,False,False
4661,IPRACBNO3,0.8468091836925284,-0.8469785776626942,False,True,True,True,True,False,False,False,False,False,False
4662,NRI15OOH,0.23143001393194584,-0.5211244796139514,False,True,False,False,False,False,False,False,False,True,False
4663,CHCL2CO3H,0.3294894037008098,0.06159885721974878,False,True,True,True,True,False,False,False,False,False,False
4664,HO13C4OH,0.209040322380587,-0.5491725389923847,False,True,True,True,True,False,False,False,False,False,False
4665,M2BKAO,0.3281740858870077,0.030440802659478683,False,True,True,True,True,False,False,False,False,False,False
4666,CO2HO4C6,0.370036928648118,-0.15897256978117547,False,True,True,True,True,False,False,False,False,False,False
4667,HEX2ONAO2,0.4132665540954503,-0.2035309286233089,False,True,True,True,True,False,False,False,False,False,False
4668,DIIPRETO,0.5264417840639195,-0.6896583948935935,False,True,True,True,True,False,False,False,False,False,False
4669,DIIPRETOOH,0.5385276154433707,-0.6875654531979686,False,True,True,True,True,False,False,False,False,False,False
4670,RTN14OOH,0.5723330252572822,-0.5950789118308017,True,True,False,False,False,True,True,True,True,True,False
4671,NRN9O2,-0.06037024696604454,-0.26272622028757564,True,True,False,False,False,True,True,True,True,True,False
4672,NC3CO3,-0.29016911357077224,-0.2007386188492104,False,True,True,True,True,False,False,False,False,False,False
4673,C6PAN5,0.12606837316473518,-0.18863242573706174,False,True,True,True,True,False,False,False,False,False,False
4674,HO2C54NO3,0.2996776390738429,-0.30767336063793904,False,True,True,True,True,False,False,False,False,False,False
4675,C102OOH,0.5521927967798488,-0.06458543344925127,False,True,True,True,True,False,False,False,False,False,False
4676,T124NCATEC,-0.09845837986615547,0.8783675654170133,False,True,True,True,True,False,False,False,False,False,False
4677,C721CO3H,-0.1268734731485498,-0.5286399663874188,False,True,True,True,True,False,False,False,False,False,False
4678,C116O,-0.3687063593061125,-0.5992355021591618,False,True,True,False,True,False,False,False,False,False,False
