,id,x,y,z,rxns,all,MCM_v3.3.1,MCM_v3.1,MCM_v3.2,CRI_v2.0.r5,CRI_v2.0.r4,CRI_v2.0.r1,CRI_v2.0.r3,CRI_v2.0.r2,CRI_v2.2
49,ACETCOC3H7,-0.7339401107045949,0.12509645400021063,0.5204034583509525,False,True,True,True,True,False,False,False,False,False,False
50,ACETETCHO,-0.5384849469876686,-0.0491630423345375,0.4954572711135956,False,True,True,True,True,False,False,False,False,False,False
51,ACETMECO3,-0.5359351910126866,-0.048011293886569995,0.48795573616576005,False,True,True,True,True,False,False,False,False,False,False
52,ACETMECO3H,-0.5414727261409927,-0.041363421135701905,0.48686634128161566,False,True,True,True,True,False,False,False,False,False,False
53,ACETMEPAN,-0.5283689169531107,-0.05185103994949314,0.491195252531768,False,True,True,True,True,False,False,False,False,False,False
54,ACETOL,0.28027673843330625,-0.2722874504577182,0.4279052322011747,False,True,True,True,True,False,False,False,False,False,False
55,ACLOO,0.2770648758434826,-0.271892427484129,0.4234520917098483,False,True,True,True,True,False,False,False,False,False,False
56,ACLOOA,0.2935303976558843,-0.27004752551646727,0.4296444415776157,False,True,True,True,True,False,False,False,False,False,False
57,ACO2H,-0.019284224018885743,0.0005642559012311033,0.1415945778714276,False,True,True,True,True,False,False,False,False,False,False
58,ACO3,-0.02485006927682365,0.0019097892041668452,0.14758386071035234,False,True,True,True,True,False,False,False,False,False,False
59,ACO3B,0.31628547123225137,0.18119585423170004,-0.11739137705724823,False,True,False,False,True,False,False,False,False,False,False
60,ACO3H,-0.014261066425062419,0.006105538213321271,0.14694646914217313,False,True,True,True,True,False,False,False,False,False,False
61,ACOMCOMOOH,-0.357800385921474,-0.09567842236329827,0.4846732173701147,False,True,True,True,True,False,False,False,False,False,False
62,ACPRONEO,-0.2700311457533653,-0.12579837606537825,0.3818290844543828,False,True,True,True,True,False,False,False,False,False,False
63,ACPRONEO2,-0.2724582552384114,-0.12962233874644868,0.37827612815679634,False,True,True,True,True,False,False,False,False,False,False
64,ACPRONEOH,-0.23461120832151816,0.29262565325663803,-0.20645944273629235,False,True,True,True,True,False,False,False,False,False,False
65,ACPRONEOOH,-0.2714581791607015,-0.1263836764757461,0.3732395880367241,False,True,True,True,True,False,False,False,False,False,False
66,ACR,0.2231852584452021,0.10289440917540604,-0.00043384673456270395,False,True,True,True,True,False,False,False,False,False,False
67,ACRO2,0.30322546436220366,0.18010153975658527,-0.12773441699456012,False,True,True,False,False,False,False,False,False,False,False
68,ACROO,0.22065763416765227,0.10504011609554209,-0.0024673838516320323,False,True,True,True,True,False,False,False,False,False,False
69,ACROOA,-0.03721496563823434,-0.013104591210409966,0.17650681707960936,False,True,True,True,True,False,False,False,False,False,False
70,ACRPAN,-0.02522902848764419,0.007829872680719774,0.14135949792274372,False,True,True,True,True,False,False,False,False,False,False
71,ALC4DOLOOH,0.5008426182720216,-0.12875206060818623,-0.14346661697497032,False,True,True,True,True,False,False,False,False,False,False
72,ALCOCH2OOH,0.1349374203201259,0.015826786152713046,-0.40767497808070596,False,True,True,True,True,False,False,False,False,False,False
73,ALCOMOXOOH,0.16195837857651685,0.40927142155659246,0.2842130913729959,False,True,True,True,True,False,False,False,False,False,False
74,ALLYLOH,-0.06435985217870432,-0.019520974360772936,0.14322341434513275,False,True,True,True,True,False,False,False,False,False,False
75,ANHY,-0.03383110287320157,-0.051347725439304104,0.3064123789660784,False,True,False,False,False,True,True,True,True,True,True
76,APINANO3,-0.5761549403251055,0.4261162358387991,0.4562294991889264,False,True,True,True,True,False,False,False,False,False,False
77,APINAO,-0.701166755423995,0.4457191960997511,0.3525673645005387,False,True,True,True,True,False,False,False,False,False,False
78,APINAO2,-0.7012036415863816,0.4465307249833399,0.35973873634971487,False,True,True,True,True,False,False,False,False,False,False
79,APINAOOH,-0.7012174738972767,0.4511920837571466,0.35731578834204125,False,True,True,True,True,False,False,False,False,False,False
80,APINBCO,-0.23344883312930675,0.7285258321349657,0.4806931036047979,False,True,True,True,True,False,False,False,False,False,False
81,APINBNO3,-0.23522859046446598,0.7265748307670725,0.48883489694945537,False,True,True,True,True,False,False,False,False,False,False
82,APINBO,-0.22840880011619147,0.7380923152467471,0.48708135342980197,False,True,True,True,True,False,False,False,False,False,False
83,APINBO2,-0.22578803827861504,0.737285609063169,0.4927194497600227,False,True,True,True,True,False,False,False,False,False,False
84,APINBOH,-0.23405791588571734,0.7372066921539058,0.48447253936514056,False,True,True,True,True,False,False,False,False,False,False
85,APINBOO,-0.04402889108668939,0.3943105292694049,0.5001397578963211,False,True,True,True,True,False,False,False,False,False,False
86,APINBOOH,-0.22229123008435403,0.7324015292343309,0.48436742231491614,False,True,True,True,True,False,False,False,False,False,False
87,APINCNO3,-0.608568655522435,0.6824427413980572,0.19823976721351433,False,True,True,True,True,False,False,False,False,False,False
88,APINCO,-0.607687998395452,0.6785100487531128,0.20763340906538996,False,True,True,True,True,False,False,False,False,False,False
89,APINCO2,-0.6129673303870511,0.6797332608466908,0.2098962924738581,False,True,True,True,True,False,False,False,False,False,False
90,APINCOH,-0.6141338552725311,0.6875854933183687,0.21011034901249692,False,True,True,True,True,False,False,False,False,False,False
91,APINCOOH,-0.6022472894434109,0.6783083722072183,0.21084521275452062,False,True,True,True,True,False,False,False,False,False,False
92,APINENE,-0.4907136780806286,0.38955622391357747,0.3317795122091063,False,True,True,True,True,True,True,True,True,True,True
93,APINOOA,-0.4827531831605447,0.3915054715723758,0.3296260460938265,False,True,True,True,True,False,False,False,False,False,False
94,APINOOB,-0.04375127660702638,0.4037253165444916,0.5019840843229864,False,True,True,True,True,False,False,False,False,False,False
95,ARNOH14,-0.28484370641381207,0.2962711760373189,0.23748665132913338,False,True,False,False,False,True,True,True,True,True,True
96,ARNOH17,-0.4734804630135534,0.24183516888218604,0.3360319746954592,False,True,False,False,False,True,True,True,True,True,True
97,AROH14,0.05127222679456955,0.34658859738346615,0.44262639728033526,False,True,False,False,False,True,True,True,True,True,True
98,AROH17,-0.38067303414044873,0.16167794886184272,0.3354050948323024,False,True,False,False,False,True,True,True,True,True,True
99,BCAL,0.2988258673435278,0.6035652905895974,0.21498491331426894,False,True,True,False,True,False,False,False,False,False,False
100,BCALACO,-0.22797999847844574,0.33840754445652577,-0.19857423055513745,False,True,True,False,True,False,False,False,False,False,False
101,BCALAO,0.24918677538863032,0.4427185998386589,-0.07587945941167906,False,True,True,False,True,False,False,False,False,False,False
102,BCALAO2,0.2526287154163409,0.4383110904563152,-0.07635927096547623,False,True,True,False,True,False,False,False,False,False,False
103,BCALAOH,0.7591425811553207,0.4645614850408617,-0.3131092906749231,False,True,True,False,True,False,False,False,False,False,False
104,BCALAOOH,0.2526241046460427,0.4497474658903582,-0.0769932223392843,False,True,True,False,True,False,False,False,False,False,False
105,BCALBCO,0.49228963936860115,0.2786148328715232,0.02155998480580812,False,True,True,False,True,False,False,False,False,False,False
106,BCALBO,0.31470259378883125,0.473024008277507,0.08680804909921847,False,True,True,False,True,False,False,False,False,False,False
107,BCALBO2,0.31721085283112815,0.4691636561327208,0.09128269080536389,False,True,True,False,True,False,False,False,False,False,False
108,BCALBOC,0.15786309239753127,0.5128367121461892,-0.4921933867041266,False,True,True,False,True,False,False,False,False,False,False
